Book,Heading,Verse Range with Milestone,Verse Range
Genesis,,,
,Joshua to Succeed Moses,Numbers 27:12-23[[@Bible:Numbers 27:12-23]],Numbers 27:12-23
,Daily Offerings,Numbers 28:1-8[[@Bible:Numbers 28:1-8]],Numbers 28:1-8
,Sabbath Offerings,Numbers 28:9-10[[@Bible:Numbers 28:9-10]],Numbers 28:9-10
,Monthly Offerings,Numbers 28:11-15[[@Bible:Numbers 28:11-15]],Numbers 28:11-15
,The Passover,Numbers 28:16-25[[@Bible:Numbers 28:16-25]],Numbers 28:16-25
,Feast of Weeks,Numbers 28:26-31[[@Bible:Numbers 28:26-31]],Numbers 28:26-31
,Feast of Trumpets,Numbers 29:1-6[[@Bible:Numbers 29:1-6]],Numbers 29:1-6
,Day of Atonement,Numbers 29:7-11[[@Bible:Numbers 29:7-11]],Numbers 29:7-11
,Feast of Tabernacles,Numbers 29:12-40[[@Bible:Numbers 29:12-40]],Numbers 29:12-40
,Vows,Numbers 30:1-16[[@Bible:Numbers 30:1-16]],Numbers 30:1-16
,Vengeance on the Midianites,Numbers 31:1-24[[@Bible:Numbers 31:1-24]],Numbers 31:1-24
,Dividing the Spoils,Numbers 31:25-54[[@Bible:Numbers 31:25-54]],Numbers 31:25-54
,The Transjordan Tribes,Numbers 32:1-42[[@Bible:Numbers 32:1-42]],Numbers 32:1-42
,Stages in Israel's Journey,Numbers 33:1-56[[@Bible:Numbers 33:1-56]],Numbers 33:1-56
